crate, [ClosureCreation], [FFI Call], [FFI Declaration], [FnPtrCreation], [PtrDeref], [UnsafeCall], std::env, std::ffi, std::fs, std::io, std::path, std::process
rand, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0
syn, 0, 0, 0, 222, 8, 32, 0, 0, 0, 0, 0, 0
rand_core, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
libc, 0, 23, 6180, 0, 0, 132, 0, 0, 0, 0, 0, 0
cfg-if, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
quote, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
proc-macro2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
unicode-xid, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
serde, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0
autocfg, 3, 0, 0, 1, 0, 0, 9, 1, 1, 1, 1, 3
